"Name","active_cpu_q1","active_cpu_q2","active_cpu_q3","idle_cpu_q1","idle_cpu_q2","idle_cpu_q3","active_mem_q1","active_mem_q1","active_mem_q1","idle_mem_q1","idle_mem_q2","idle_mem_q3"
com.android.vending,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.06155185296792886,0.06172566533392783,0.061757395343888605
org.cyanogenmod.audiofx,0.0,0.0,0.0,nan,nan,nan,0.024436829619416452,0.024436829619416452,0.02446116101299702,nan,nan,nan
com.cyanogenmod.filemanager,0.0,0.0,0.0,nan,nan,nan,0.038513535411525586,0.038513535411525586,0.038571962494110254,nan,nan,nan
com.android.settings,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.05683473879943508,0.05683473879943508,0.05683473879943508
com.google.android.apps.docs,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.04192917086844309,0.042001811749021484,0.04207530722819492
com.google.android.youtube,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.023622474681675266,0.025435855566726236,0.02545295047509858
com.sand.airmirror,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.028430008081170872,0.028430008081170872,0.028430008081170872
com.google.android.apps.photos,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.02821339708597814,0.028336973286152575,0.02833875563519355
com.android.chrome,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.06246591019917539,0.06970953442133276,0.07018946964330486
com.google.android.calendar,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.04556586249287413,0.04564218363682077,0.045648270593299546
eu.chainfire.supersu,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.04416090558351775,0.044327373141928285,0.04438612639783788
com.cyandelta,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.02703128662296831,0.02703128662296831,0.02703128662296831
com.google.android.videos,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.029825791871231924,0.03153776376609167,0.031849732659419656
com.google.android.apps.fitness,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.047831335758302625,0.047831335758302625,0.047831335758302625

